epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,285.499,2.76855,3.02444,1.55238,0.16163,0.13695,0.06293,0.02438,2.49551,2.38036,1.40281,0.0033323,0.0033323,0.0033323
2,547.976,2.53362,2.41448,1.37371,0.1962,0.13693,0.07984,0.03189,2.45919,2.24061,1.37011,0.00659964,0.00659964,0.00659964
3,800.514,2.55789,2.36703,1.3908,0.19302,0.13819,0.07325,0.03027,2.50144,2.25557,1.40815,0.00980099,0.00980099,0.00980099
4,1044.47,2.55289,2.35909,1.41292,0.20369,0.14499,0.0851,0.03457,2.4189,2.20279,1.4203,0.009703,0.009703,0.009703
5,1281.32,2.48439,2.25435,1.37254,0.20307,0.16005,0.09101,0.037,2.33164,2.11835,1.36516,0.009604,0.009604,0.009604
6,1515.78,2.42147,2.18756,1.36094,0.20407,0.1635,0.09753,0.03929,2.29143,2.10206,1.35399,0.009505,0.009505,0.009505
7,1751.6,2.39372,2.14251,1.3372,0.20925,0.16685,0.10182,0.04142,2.27058,2.06383,1.35074,0.009406,0.009406,0.009406
8,1983.05,2.35996,2.11372,1.32914,0.23802,0.16989,0.11967,0.04843,2.22336,1.98165,1.31209,0.009307,0.009307,0.009307
9,2210.28,2.33341,2.08418,1.32297,0.22429,0.179,0.11576,0.04598,2.23002,2.02682,1.33128,0.009208,0.009208,0.009208
10,2444.92,2.30862,2.06068,1.30831,0.18177,0.16783,0.09755,0.03927,2.22137,2.07256,1.30512,0.009109,0.009109,0.009109
11,2670.04,2.2791,2.02265,1.30038,0.2287,0.18223,0.122,0.04772,2.1938,1.98545,1.30841,0.00901,0.00901,0.00901
12,2899.94,2.27236,2.00531,1.29576,0.23073,0.18057,0.12221,0.04826,2.1904,1.95251,1.30521,0.008911,0.008911,0.008911
13,3129.64,2.25651,1.99813,1.28983,0.19199,0.1671,0.1034,0.03923,2.20717,2.07616,1.30695,0.008812,0.008812,0.008812
14,3359.49,2.24553,1.9762,1.27891,0.17332,0.18198,0.10028,0.03881,2.18695,2.05105,1.30045,0.008713,0.008713,0.008713
15,3599.66,2.23864,1.96503,1.2737,0.20853,0.18674,0.11508,0.04333,2.15293,2.03345,1.28619,0.008614,0.008614,0.008614
16,3842.58,2.21726,1.95249,1.27562,0.19864,0.18365,0.10677,0.04006,2.1726,2.04883,1.29521,0.008515,0.008515,0.008515
17,4090.29,2.20439,1.93127,1.26829,0.22752,0.20309,0.13052,0.05021,2.12773,1.94269,1.27747,0.008416,0.008416,0.008416
18,4342.65,2.19902,1.92192,1.26628,0.241,0.19712,0.14561,0.05887,2.10908,1.86412,1.26495,0.008317,0.008317,0.008317
19,4598.43,2.18747,1.91041,1.27026,0.17142,0.16866,0.09952,0.03883,2.17817,2.10919,1.30027,0.008218,0.008218,0.008218
20,4839.51,2.17802,1.89211,1.25303,0.22164,0.20342,0.134,0.05127,2.11688,1.94055,1.26835,0.008119,0.008119,0.008119
21,5073.25,2.16939,1.8947,1.24889,0.19049,0.19488,0.11852,0.04526,2.12637,1.95746,1.26907,0.00802,0.00802,0.00802
22,5307.48,2.16445,1.88745,1.25144,0.23519,0.19991,0.1479,0.05899,2.07871,1.84555,1.25482,0.007921,0.007921,0.007921
23,5541.68,2.1603,1.87759,1.24746,0.26263,0.20608,0.16308,0.06474,2.07169,1.81124,1.25238,0.007822,0.007822,0.007822
24,5774.84,2.15879,1.87118,1.24876,0.22588,0.20558,0.13839,0.05265,2.09699,1.90276,1.25983,0.007723,0.007723,0.007723
25,6009.1,2.1423,1.85862,1.23699,0.23992,0.19777,0.1445,0.05714,2.08153,1.84413,1.24829,0.007624,0.007624,0.007624
26,6241.29,2.15217,1.86243,1.23926,0.24484,0.20732,0.15101,0.05866,2.08325,1.85519,1.25113,0.007525,0.007525,0.007525
27,6472.97,2.13893,1.84147,1.23427,0.23176,0.20409,0.14636,0.05665,2.0969,1.88241,1.25923,0.007426,0.007426,0.007426
28,6706.3,2.13325,1.83824,1.23516,0.2655,0.20724,0.16707,0.06595,2.07344,1.80852,1.24402,0.007327,0.007327,0.007327
29,6942.12,2.12654,1.8308,1.23433,0.25042,0.20266,0.16134,0.06358,2.05481,1.82228,1.23875,0.007228,0.007228,0.007228
30,7184.95,2.12296,1.82163,1.23421,0.21803,0.19747,0.14036,0.05377,2.09485,1.89738,1.25517,0.007129,0.007129,0.007129
31,7425.3,2.11119,1.81566,1.23102,0.2088,0.19556,0.13289,0.05065,2.09778,1.92879,1.25982,0.00703,0.00703,0.00703
32,7666.07,2.11368,1.80523,1.22509,0.21782,0.18979,0.14257,0.05434,2.09725,1.90338,1.25374,0.006931,0.006931,0.006931
33,8110.27,2.11308,1.80154,1.22379,0.22931,0.1983,0.14656,0.05646,2.08017,1.85996,1.24673,0.006832,0.006832,0.006832
34,8496.51,2.10524,1.80627,1.22256,0.19677,0.19908,0.135,0.0508,2.09748,1.9472,1.25676,0.006733,0.006733,0.006733
35,8833.15,2.10516,1.78818,1.2197,0.22553,0.2086,0.15128,0.05654,2.09303,1.88281,1.25575,0.006634,0.006634,0.006634
36,9076.52,2.10005,1.79705,1.22285,0.24437,0.21651,0.16389,0.0628,2.06728,1.81739,1.24147,0.006535,0.006535,0.006535
37,9319.2,2.09671,1.78576,1.21749,0.26428,0.20082,0.16812,0.06536,2.06439,1.79265,1.24588,0.006436,0.006436,0.006436
38,9559.82,2.09093,1.76898,1.21749,0.28006,0.21417,0.17923,0.06946,2.0453,1.7577,1.23825,0.006337,0.006337,0.006337
39,9804.11,2.08011,1.77508,1.21709,0.24607,0.21047,0.16231,0.06263,2.05591,1.80222,1.24487,0.006238,0.006238,0.006238
40,10048.7,2.08214,1.76165,1.21324,0.24688,0.21152,0.16389,0.06446,2.03774,1.77689,1.2351,0.006139,0.006139,0.006139
41,10291.4,2.08601,1.76806,1.21396,0.28606,0.21822,0.18747,0.07492,2.01106,1.70801,1.2237,0.00604,0.00604,0.00604
42,10532.3,2.0705,1.7505,1.21342,0.27371,0.2186,0.18118,0.07386,2.01284,1.71957,1.22375,0.005941,0.005941,0.005941
43,10775.4,2.07251,1.74866,1.20933,0.28247,0.22574,0.18975,0.0763,2.01052,1.70114,1.22188,0.005842,0.005842,0.005842
44,11025,2.06475,1.75522,1.20753,0.2905,0.23455,0.19417,0.07791,2.01026,1.6803,1.22044,0.005743,0.005743,0.005743
45,11272.4,2.06489,1.75506,1.21148,0.27406,0.22437,0.18234,0.07228,2.02239,1.71705,1.22507,0.005644,0.005644,0.005644
46,11518.3,2.0532,1.73179,1.20415,0.24727,0.21437,0.16966,0.06577,2.05484,1.76592,1.23491,0.005545,0.005545,0.005545
47,11770,2.05507,1.72927,1.20007,0.26317,0.21132,0.17783,0.06884,2.04351,1.74642,1.23076,0.005446,0.005446,0.005446
48,12015.1,2.04543,1.7316,1.20502,0.2521,0.21321,0.17412,0.0672,2.05225,1.75303,1.23383,0.005347,0.005347,0.005347
49,12258.5,2.05604,1.71844,1.20453,0.24188,0.21501,0.16996,0.06449,2.06262,1.77661,1.24075,0.005248,0.005248,0.005248
50,12499.8,2.04866,1.72732,1.19905,0.24441,0.22175,0.17202,0.06478,2.06115,1.76023,1.2415,0.005149,0.005149,0.005149
51,12741.2,2.04454,1.70779,1.19485,0.26973,0.22412,0.18728,0.072,2.04166,1.71173,1.23242,0.00505,0.00505,0.00505
52,12982.2,2.04394,1.71418,1.19509,0.26045,0.22006,0.18253,0.07015,2.04856,1.7319,1.23446,0.004951,0.004951,0.004951
53,13223.3,2.0338,1.71119,1.19379,0.26172,0.21722,0.18276,0.07028,2.051,1.72236,1.23197,0.004852,0.004852,0.004852
54,13463.4,2.03227,1.70108,1.19686,0.26461,0.22092,0.18582,0.07228,2.04562,1.70534,1.23067,0.004753,0.004753,0.004753
55,13704,2.02385,1.70214,1.19318,0.27142,0.21913,0.18824,0.07274,2.0489,1.70678,1.23428,0.004654,0.004654,0.004654
56,13944.2,2.02267,1.69164,1.18818,0.2754,0.22631,0.19245,0.07459,2.04098,1.6949,1.23009,0.004555,0.004555,0.004555
57,14184.5,2.01862,1.691,1.18772,0.28439,0.22553,0.19541,0.07587,2.03485,1.68494,1.22763,0.004456,0.004456,0.004456
58,14427.4,2.01591,1.69571,1.18671,0.27992,0.22082,0.19137,0.07416,2.04353,1.69856,1.23015,0.004357,0.004357,0.004357
59,14682.3,2.02061,1.67401,1.18558,0.2665,0.21543,0.18372,0.07029,2.06389,1.72079,1.23886,0.004258,0.004258,0.004258
60,14936.9,2.01146,1.67454,1.18904,0.25666,0.21402,0.18045,0.06909,2.06935,1.72594,1.23942,0.004159,0.004159,0.004159
61,15192,2.00988,1.67152,1.18416,0.26088,0.21646,0.18297,0.07033,2.06627,1.71177,1.23679,0.00406,0.00406,0.00406
62,15447.1,2.00337,1.65999,1.18621,0.26481,0.21734,0.1852,0.07088,2.06562,1.70606,1.23613,0.003961,0.003961,0.003961
63,15702.7,1.99168,1.66336,1.18095,0.26989,0.21704,0.18768,0.07182,2.06295,1.69554,1.23426,0.003862,0.003862,0.003862
64,15958.4,1.99582,1.658,1.17676,0.26485,0.21608,0.18612,0.07104,2.07046,1.70433,1.2377,0.003763,0.003763,0.003763
65,16214.1,1.99038,1.65612,1.1784,0.26851,0.20956,0.18499,0.07019,2.07921,1.7133,1.24165,0.003664,0.003664,0.003664
66,16470.6,1.99704,1.65144,1.17538,0.26281,0.2112,0.18338,0.0691,2.08869,1.72572,1.24697,0.003565,0.003565,0.003565
67,16728,1.99194,1.64878,1.1755,0.26426,0.21034,0.1837,0.06889,2.09352,1.7248,1.24908,0.003466,0.003466,0.003466
68,16982.1,1.98466,1.63891,1.177,0.2652,0.21246,0.1869,0.07024,2.08865,1.71395,1.24604,0.003367,0.003367,0.003367
69,17237.9,1.98583,1.64247,1.1715,0.25666,0.21253,0.18331,0.06868,2.0952,1.72241,1.24826,0.003268,0.003268,0.003268
70,17492.2,1.98763,1.64222,1.1765,0.25595,0.21165,0.18289,0.06857,2.09492,1.72024,1.24786,0.003169,0.003169,0.003169
71,17747.8,1.97501,1.63002,1.16996,0.25317,0.20938,0.18099,0.06789,2.09835,1.72598,1.24938,0.00307,0.00307,0.00307
72,18002.8,1.97379,1.62441,1.16877,0.25498,0.21127,0.1829,0.06832,2.10039,1.72486,1.25054,0.002971,0.002971,0.002971
73,18258.9,1.97488,1.61871,1.1658,0.26096,0.21218,0.18559,0.06955,2.09598,1.71328,1.24842,0.002872,0.002872,0.002872
74,18514,1.9644,1.61657,1.16827,0.26072,0.21334,0.18673,0.07,2.09532,1.70984,1.24797,0.002773,0.002773,0.002773
75,18771,1.97171,1.6176,1.16762,0.25924,0.21273,0.18645,0.0699,2.09679,1.70931,1.24817,0.002674,0.002674,0.002674
76,19015.4,1.96989,1.62661,1.16839,0.25795,0.21231,0.1857,0.06954,2.09955,1.71127,1.24909,0.002575,0.002575,0.002575
77,19259.2,1.94725,1.60538,1.16509,0.25917,0.21087,0.1857,0.0696,2.10093,1.71229,1.24971,0.002476,0.002476,0.002476
